post_url,id,text,author_name,author_profile_url,comment_time,reactions_count,replies_count
https://www.facebook.com/share/p/1Ewe6gMpxb/,1506747567897121,Khailey bata ho aviyan fere😆😆,Bishal Regmi,https://www.facebook.com/profile.php?id=100025062909708,2026-06-05T03:36:24.000Z,1,1
https://www.facebook.com/share/p/1Ewe6gMpxb/,1005236922443015,Duniya bhari ko memes comment ma x 🤣😄 isko dikkat kya hai,Gaurav Mishra,https://www.facebook.com/gaurav.mishra.801817,2026-06-05T16:53:06.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,4322223001358875,Networking business jastai ek karyakarta le 3 jana karyakarta banaunu parne niyam cha re 😆😆😆,Aashish Thapa Magar,https://www.facebook.com/aascs.thapa,2026-06-05T05:24:59.000Z,1,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,884863183864768,Monica Monu la badbhai xa😅,Hem Raj Bhatt,https://www.facebook.com/hem.mu.14,2026-06-05T04:00:11.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1212298391961173,Bau jati nai gayab vayo ab chora chori ka bat aaune ho 😂,Boris Khan,https://www.facebook.com/boris.khan.632511,2026-06-05T03:01:26.000Z,0,1
https://www.facebook.com/share/p/1Ewe6gMpxb/,2421402651662675,Janmine bittikai party sadasyata card diye bhaigo ni!,Adarsh S Chhetri,https://www.facebook.com/profile.php?id=100005846082340,2026-06-05T03:25:08.000Z,4,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1506088387651711,"Baru afno ghar xodinxa, parents xodinxa tara Timi haru tira laginna🤣😅",Rajan Joshi,https://www.facebook.com/rajan.joshi.505197,2026-06-05T02:56:58.000Z,8,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1001183845730103,Aba yahi baki thiyo chor haru,ShEn D Saud,https://www.facebook.com/dnesh.saud.16,2026-06-05T03:03:38.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1336177181910775,Nepal maa helicopter ko khaacho hune vayo🤣🤣🤣🤣,Sanju Lama,https://www.facebook.com/swat.ak.5,2026-06-05T03:30:56.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,877899517977256,Esko jawaf Harka Sampang A Revolution le matra uttano parne gari dinu sakchha 🤣🤣🤣,Kshitiz Tamang,https://www.facebook.com/kshitiztamang30,2026-06-05T04:19:21.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1564415035342302,Kasto kasto news auna thalyo yrr,Kapendra Xettri,https://www.facebook.com/kapendra.baduwal,2026-06-05T03:26:08.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1964211440889762,Sabdhan Janta Janardan Jiu Haru Yo Ghin Lagdo Tukke Tapaiharuko Nani Babulai Bhumroma Jhoker Afu Masti Garne Fusre Kurama Na Fasnu Hola,Shankar Uprety,https://www.facebook.com/shankar.uprety.908,2026-06-05T03:10:47.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1661502324969566,Barsha Karki k xa ta plan😂,Pratikshya Hamal,https://www.facebook.com/pratikshya.hamal.2025,2026-06-05T04:41:50.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1023324710265726,Budo pagal hune vhayo 🤡,Bhanu Pokhrel,https://www.facebook.com/bhanu.pokhrel.68823,2026-06-05T05:14:50.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,26930578836634880,Yo ta K yesko bau aaya pani belan ko ball Suna sakdaina 🙄,Manju Thamee,https://www.facebook.com/manju.thamee.2025,2026-06-05T03:38:09.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,833288846205239,Samjine baule vaneko maile mannu parena,Aayushma Mahat,https://www.facebook.com/aayushma.mahat.79,2026-06-05T07:45:10.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1305029838450207,Manxe pugenan?? 🥸,Ajita Shiwakoti,https://www.facebook.com/ajita.shiwakoti.572184,2026-06-05T06:08:12.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1325930969513561,Afna santan le pani patyauxan ki patyaudeinan ??? Sankai xa.....,Raj JC,https://www.facebook.com/amrit.thapa.9822924,2026-06-05T03:10:04.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1506461354294771,Yi budha ko hos ajai aako xaina rexa 😂,Bikal Thapaliya,https://www.facebook.com/profile.php?id=100003691939624,2026-06-05T04:40:29.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1914074055914737,aru bachha bigar khojeko cha aafno tw batashe parecha buda ko 🫢🫢🫢,Binod Nepali,https://www.facebook.com/binodnepali.me,2026-06-05T05:48:02.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1026146739827032,Laga laga narsangharkariko dhabba itihasma lagne cha Jo Gaye Pani.,Bir Singh Gurung,https://www.facebook.com/birsingh.gurung,2026-06-05T10:17:54.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1714397946419258,Thet 🤣🤣 xora xori Lai ni jholey banaunet bhayerl,Niraj X Magar,https://www.facebook.com/niraj.x.magar,2026-06-05T04:10:46.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,4316519365328372,Kp baa i love you vanne haru join hune holam aba😂😂😂,Prabisha Panta,https://www.facebook.com/profile.php?id=100008958453363,2026-06-05T03:42:58.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1986995391922379,Expire date kaila xa badda ko 🤣🤣,Prakash Neupane,https://www.facebook.com/prakash.neupane.75054,2026-06-05T03:05:47.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1025396543145210,Aba pane Timi jasto lutera KO party ma KO aabadha bhayera bascha ra,Bikash Tiwari,https://www.facebook.com/people/Bikash-Tiwari/pfbid02wbLt1RYCbjE3Cs5Bdeyea4U3Ye5g43kopZnzaGw93L4TxiNFPMPQJu9egC5dt52rl/,2026-06-05T12:52:32.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1004514248754660,lala jamina bittikai janma darta ma  lekhe hunx😝😝,Roshani Pandaya,https://www.facebook.com/profile.php?id=100003161598496,2026-06-05T05:03:04.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,1629732734779741,Guu khane bho ABA 😆😆,Ja Nak,https://www.facebook.com/Jk.JANAK11,2026-06-05T04:41:58.000Z,0,0
https://www.facebook.com/share/p/1Ewe6gMpxb/,2125623191630467,Ekkxinn hasdim ki kya hoo kura sunera😂😂😂😂😂😂😂,Shts Sami,https://www.facebook.com/shts.sami,2026-06-05T05:30:15.000Z,0,0
